id,Rede,Nome,Localizado em,Endereço,Bairro,CEP,Tipo,Latitude,Longitude,Unnamed: 10,geometry
Escola Privada_1745143,Privada,Shekinah Escola de Educacao Infantil e Ensino Fundamental,Rua,"Oliveira Alves, 520",Ipiranga,4210060,Escola Privada,-23.585499,-46.603626,,POINT (-46.603626 -23.585499)
Escola Privada_1745145,Privada,Colegio 15 de Setembro,Rua,"Antimo Liberati, 5",Jardim Progresso,4848050,Escola Privada,-23.73462,-46.680621,,POINT (-46.680621 -23.73462)
Escola Privada_1745146,Privada,Esc Part Abc Colorido,Rua,"Padre Arlindo Vieira, 335",Vila Vermelha,4297000,Escola Privada,-23.625173,-46.601461,,POINT (-46.601461 -23.625173)
Escola Privada_1745147,Privada,Estela Maris Recantao Encantado Colegio,Rua,"Teodureto Souto, 188",Cambuci,1539000,Escola Privada,-23.56635,-46.620375,,POINT (-46.620375 -23.56635)
Escola Privada_1745153,Privada,Ecovivencia Escola de Educacao Infantil e Ensino Fundamental,Rua,"Rua Visconde de Parnaiba, 3232",Bras,3045002,Escola Privada,-23.540142,-46.597003,,POINT (-46.597003 -23.540142)
Escola Privada_1745158,Privada,Esc Part Ver Crescer,Rua,"Colonia da Gloria, 418",Vila Mariana,4113000,Escola Privada,-23.585811,-46.627118,,POINT (-46.627118 -23.585811)
Escola Privada_1745174,Privada,Esc Part Sol Nascente Colegio,Rua,"Montanhas, 69",Vila Santana,8230080,Escola Privada,-23.502748,-46.62639,,POINT (-46.62639 -23.502748)
Escola Privada_1745176,Privada,Esc Part Portinha Encantada,Rua,"Governador Adhemar Pereira de Barros, 145",Jardim Aricanduva,3454070,Escola Privada,-23.563456,-46.511875,,POINT (-46.511875 -23.563456)
Escola Privada_1745177,Privada,Esc Part Aquarela Nucleo de Recreacao Infantil,Rua,"Armindo Guarana, 18",Vila Regente Feijo,3335070,Escola Privada,-23.554262,-46.568367,,POINT (-46.568367 -23.554262)
Escola Privada_1745188,Privada,Cr P Conv Serelepe,Rua,"Paulino Benedito de Freitas Filho, 95",Jardim Itapemirim,8220730,Escola Privada,-23.534598,-46.459735,,POINT (-46.459735 -23.534598)
Escola Privada_1745192,Privada,Cr P Conv Doce Infancia IIi,Rua,"Francisco Rodrigues, 283",Vila Constanca,2259000,Escola Privada,-23.552139,-46.647198,,POINT (-46.647198 -23.552139)
Escola Privada_1745200,Privada,Cr P Conv Querubins da Vitoria,Rua,"Candido Pereira de Castro, 285",Jardim Miriam,8142377,Escola Privada,-23.524708,-46.38981,,POINT (-46.38981 -23.524708)
Escola Privada_1745201,Privada,Da Turma Escola de Educacao Infantil,Rua,"Rua Pensilvania, 590",Cidade Moncoes,4564001,Escola Privada,-23.612634,-46.68465,,POINT (-46.68465 -23.612634)
Escola Privada_1745203,Privada,Cr P Conv Pio PE,Rua,"Doutor Alexandre Kalil Yazbek, 35",Praia do Leblon,4474370,Escola Privada,-23.710488,-46.63905,,POINT (-46.63905 -23.710488)
Escola Privada_1745206,Privada,Cei Indir Mae do Bom Conselho,Rua,"Celso Lara Barberis, 133",Interlagos,4815170,Escola Privada,-23.70534,-46.69237,,POINT (-46.69237 -23.70534)
Escola Privada_1745213,Privada,Cr P Conv Pequena Isadora,Rua,"Dos Pensamentos Poeticos, 15",Conjunto Habitacional Sitio Conceicao,8473040,Escola Privada,-23.580008,-46.394116,,POINT (-46.394116 -23.580008)
Escola Privada_1745215,Privada,Cr P Conv Julio Francisco de Souza IIi,Rua,"Irani Bastos Malta, 14",Conjunto Habitacional Fazenda do Carmo,8421280,Escola Privada,-23.694421,-46.645155,,POINT (-46.645155 -23.694421)
Escola Privada_1745218,Privada,Cr P Conv Flor de Lis,Rua,"Lorenzo Sabatini, 8",Jardins Recanto das Rosas,8460524,Escola Privada,-23.556503,-46.395688,,POINT (-46.395688 -23.556503)
Escola Privada_1745219,Privada,Esc Part Nosso Mundo,Rua,"Doutor Nogueira Martins, 88",Saude,4143020,Escola Privada,-23.61631,-46.635758,,POINT (-46.635758 -23.61631)
Escola Privada_1745221,Privada,Cr P Conv Sol Radiante,Rua,"Ernestina Lesina, 51",Cidade Tiradentes,8470260,Escola Privada,-23.590705,-46.405998,,POINT (-46.405998 -23.590705)
Escola Privada_1745222,Privada,Cr P Conv Vovo Fatima II,Rua,"Antonio de Padua e Castro, 45",Cidade Nitro Quimica,8090070,Escola Privada,-23.481096,-46.430442,,POINT (-46.430442 -23.481096)
Escola Privada_1745230,Privada,Esc Part Recanto dos Anjos Dourados,Rua,"Jose Antonio Valadares, 515",Vila Liviero,4185020,Escola Privada,-23.646014,-46.590932,,POINT (-46.590932 -23.646014)
Escola Privada_1745246,Privada,Cr P Conv Quatro Pilares da Educacao IV,Rua,"Engenheiro Mario Savelli, 82",Conjunto Habitacional Juscelino Kubitsch,8465060,Escola Privada,-23.565637,-46.397508,,POINT (-46.397508 -23.565637)
Escola Privada_1745247,Privada,Cr P Conv Encantado,Rua,"Chapada Diamantina, 125",Lajeado,8450150,Escola Privada,-23.543071,-46.406269,,POINT (-46.406269 -23.543071)
Escola Privada_1745249,Privada,Cr P Conv Arte de Brincar,Rua,"Joao Badue, 19",Cidade Tiradentes,8471440,Escola Privada,-23.604455,-46.398657,,POINT (-46.398657 -23.604455)
Escola Privada_1745251,Privada,Cr P Conv Maria de Lourdes da Silva Xavier,Rua,"Conjunto Sitio Conceicao, 133",Conjunto Habitacional Sitio Conceicao,8473090,Escola Privada,-23.577346,-46.39281,,POINT (-46.39281 -23.577346)
Escola Privada_1745259,Privada,Esc Part Teddyhaus,Rua,"Sao Benedito, 1062",Santo Amaro,4735000,Escola Privada,-23.644829,-46.698433,,POINT (-46.698433 -23.644829)
Escola Privada_1745260,Privada,Mania de Aprender Centro Educacional,Rua,"Paulo de Morais, 223",Vila Moraes,4168010,Escola Privada,-23.552139,-46.647198,,POINT (-46.647198 -23.552139)
Escola Privada_1745265,Privada,Cr P Conv Crescer e Aprender II,Rua,"Erva de Santa Luzia, 708",Vila Helena,8081310,Escola Privada,-23.486339,-46.417192,,POINT (-46.417192 -23.486339)
Escola Privada_1745267,Privada,Cr P Conv Carolina Maria de Jesus,Rua,"Francisco de Soutomaior, 315",Jardim Lourdes,8452430,Escola Privada,-23.526597,-46.390981,,POINT (-46.390981 -23.526597)
Escola Privada_1745268,Privada,Cr P Conv Doce Mel IIi,Rua,"Do Imperador, 3486",Limoeiro,8051000,Escola Privada,-23.518696,-46.469087,,POINT (-46.469087 -23.518696)
Escola Privada_1745271,Privada,Cr P Conv Pequenos Passos,Rua,"Francisco de Oliveira, 48",Jardim Lajeado,8441110,Escola Privada,-23.530851,-46.40325,,POINT (-46.40325 -23.530851)
Escola Privada_1745273,Privada,Cr P Conv Angelina,Rua,"Coutinho e Melo, 235",Vila Aurea,8411090,Escola Privada,-23.548924,-46.409119,,POINT (-46.409119 -23.548924)
Escola Privada_1745279,Privada,Cr P Conv Cri-acao II - Ilha Bela,Rua,"Ilha Bela, 60",Pedreira,4459050,Escola Privada,-23.69637,-46.674465,,POINT (-46.674465 -23.69637)
Escola Privada_1745282,Privada,Cr P Conv Vovo Nelsao,Rua,"Wilma Flor, 394",Guaianazes,8473440,Escola Privada,-23.576398,-46.396785,,POINT (-46.396785 -23.576398)
Escola Privada_1745283,Privada,Cr P Conv Acolher II,Rua,"Lourenco de Godoi, 79",Jardim Lajeado,8441090,Escola Privada,-23.53001,-46.404089,,POINT (-46.404089 -23.53001)
Escola Privada_1745284,Privada,Cr P Conv Espaco Kairos IX,Rua,"Florido Silvestri, 15",Conjunto Habitacional Juscelino Kubitsch,8465170,Escola Privada,-23.564353,-46.394812,,POINT (-46.394812 -23.564353)
Escola Privada_1745286,Privada,Esc Part Coracao Valente,Rua,"Plinio Augusto de Camargo, 167",Vila Sao Geraldo,3607020,Escola Privada,-23.521554,-46.543603,,POINT (-46.543603 -23.521554)
Escola Privada_1745287,Privada,Cr P Conv Mundo dos Sonhos II,Rua,"Brasilia de Minas, 225",Vila Cosmopolita,8421100,Escola Privada,-23.552139,-46.647198,,POINT (-46.647198 -23.552139)
